Feature,Rank_IC_Mean,Rank_IC_IR,IC_T_Stat,Long_Short_Ret,Win_Rate,Abs_IC
pca_10,-0.016083847467185334,-0.0869172608821418,-0.41684053965857115,-0.03274477950124494,0.375,0.016083847467185334
pca_68,0.015841316562521125,0.13932951796696005,0.668200894393913,0.0029747451957866447,0.5,0.015841316562521125
pca_59,-0.01580523176788524,-0.12011828593313438,-0.5760670622044167,-0.008923717702983974,0.375,0.01580523176788524
pca_15,0.014034578414022178,0.08732515040669962,0.41879670909847455,-0.007106842351871305,0.5833333333333334,0.014034578414022178
pca_3,0.009901097816820054,0.06677992601512478,0.3202652743078266,0.07718700409469344,0.7083333333333334,0.009901097816820054
pca_72,-0.009864847525622647,-0.05967661709481731,-0.2861990014679876,-0.026689171258850772,0.4166666666666667,0.009864847525622647
pca_57,0.008555260631019268,0.07889115307190196,0.37834867881271655,0.007577820748716144,0.5,0.008555260631019268
pca_47,0.00825987791663681,0.06572847266531602,0.31522268118752106,0.03362229939357688,0.5833333333333334,0.00825987791663681
pca_69,0.007921592851938138,0.05836097762940605,0.27988941624645397,0.022897882179816375,0.5,0.007921592851938138
pca_49,0.007605001238551973,0.046731051010578284,0.22411424755406606,0.024419536105275447,0.5,0.007605001238551973
pca_19,0.007562453211415516,0.048388116084573725,0.23206125247211387,0.0256170185253268,0.5833333333333334,0.007562453211415516
pca_38,0.0073500964685362215,0.04388394128234902,0.21045998896909382,0.04562849642176315,0.75,0.0073500964685362215
pca_70,0.0072480698060686174,0.053222715181118395,0.25524717522190205,0.018215490742199657,0.5833333333333334,0.0072480698060686174
pca_14,-0.007130801900205292,-0.05491767122252316,-0.26337589883590035,-0.04834049486120837,0.375,0.007130801900205292
pca_42,-0.006886417401402538,-0.045425216413954604,-0.21785168483134584,-0.03537500619456115,0.375,0.006886417401402538
pca_80,0.0061153693442335885,0.04418594323087978,0.21190833943395954,0.010972470298397144,0.5416666666666666,0.0061153693442335885
pca_33,0.006110797830205306,0.0564023359474076,0.2704961007250516,-0.004336405663515404,0.4583333333333333,0.006110797830205306
pca_2,0.005811742018348322,0.043290919985639525,0.20761595874033867,-0.006593777066798937,0.375,0.005811742018348322
pca_50,-0.005634197284236267,-0.03822233459409054,-0.1833078771409457,-0.005593878350159506,0.3333333333333333,0.005634197284236267
pca_41,0.003912698868292045,0.024305046215970145,0.11656290681812216,0.014562982691896209,0.5833333333333334,0.003912698868292045
pca_39,-0.0037498985531333726,-0.03209351683516769,-0.15391509973206466,0.014968091770249763,0.4583333333333333,0.0037498985531333726
pca_65,-0.002449220141626999,-0.014769829793179203,-0.0708336153160922,-0.050130241677365385,0.3333333333333333,0.002449220141626999
pca_6,-0.0012780806675368288,-0.007514242652290193,-0.03603704178567429,-0.031138725150268443,0.3333333333333333,0.0012780806675368288
pca_63,0.001107795768051199,0.005816997199947748,0.027897338542531236,0.06613431097300031,0.7083333333333334,0.001107795768051199
pca_48,-0.00047733309290247383,-0.002879464275806593,-0.013809425544166093,0.0432025067523537,0.6666666666666666,0.00047733309290247383
pca_35,0.00025850544011715254,0.0018837243914728516,0.009034024817858572,-0.0005720243692615828,0.5,0.00025850544011715254
