symbol,report_year,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20
000429,2021,-1.49535,-0.453563,0.306763,0.212069,0.171311,0.02893,-0.149106,-0.055344,-0.035319,0.037009,-0.055586,-0.033285,0.041885,0.020212,0.029132,-0.015833,0.076798,-0.016436,-0.042585,-0.017405
000430,2021,2.93544,-0.77033,0.273214,0.057229,0.385667,-0.148258,0.013792,-0.055662,0.158257,0.009533,0.082667,-0.060476,0.056723,-0.042039,0.015936,0.045627,0.016497,0.098412,-0.018001,0.009823
000488,2021,9.365109,1.678678,-1.174688,0.404789,0.558612,0.257892,-0.257034,0.480309,0.054145,-0.157721,0.139477,0.070712,-0.121496,0.035012,0.078828,0.152998,0.007332,-0.084762,0.045312,0.048084
000498,2021,-0.767831,-0.565535,0.33504,0.182052,0.116646,0.084097,-0.069145,-0.060362,0.021694,0.086787,-0.072775,-0.087889,-0.005109,0.069645,-0.004153,-0.001659,0.030018,-0.027346,-0.000602,0.025105
000501,2021,0.742817,-0.73226,0.36183,0.229176,0.24251,0.245245,0.059453,-0.10638,0.080828,0.024433,-0.009197,-0.161793,0.035017,0.0947,0.009118,-0.009991,0.01027,0.000475,-0.023147,0.017427
000503,2021,-7.147788,1.603453,-0.926968,-0.4044,0.241702,-0.297931,0.146844,0.105489,0.15172,-0.032271,0.079903,-0.141059,0.043373,0.022601,-0.043765,-0.067557,0.11537,0.002046,0.027678,-0.07258
000504,2021,-0.086828,-0.567085,0.338685,0.213478,-0.012796,0.102373,0.086275,0.110037,-0.050024,-0.032341,0.122071,0.039316,-0.028726,0.118888,0.008959,-0.052422,0.022473,0.046129,-0.049059,-0.032284
000505,2021,5.091159,-0.200551,-0.202364,-0.197361,0.117205,-0.057355,0.093235,-0.063772,0.135695,0.000755,0.104119,0.196729,-0.013004,-0.152645,-0.05795,-0.01718,0.047798,-0.002815,-0.085826,0.027142
000506,2021,0.208365,-0.727447,0.43842,0.156916,0.191387,0.011462,-0.086092,-0.10122,0.091056,0.119574,-0.03598,-0.110176,0.003067,-0.010952,-0.006707,0.062228,0.047226,0.066956,-0.036072,-0.022847
000507,2021,-2.096407,-0.392357,0.300288,0.220332,0.289242,-0.111457,-0.22652,-0.021485,-0.062997,0.026082,-0.087348,-0.028128,0.051648,-0.019776,0.032052,0.025408,0.028215,0.011695,0.015382,-0.019564
