symbol,name,report_year,disclosure_date,pdf_title,pdf_url,buy_date,sell_date,future_return
338,潍柴动力,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000338&announcementId=1216280737&orgId=9900002961&announcementTime=2023-03-31,2023-04-03,2023-07-04,0.013449
401,金隅冀东,2022,2023-03-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000401&announcementId=1216245883&orgId=gssz0000401&announcementTime=2023-03-29,2023-03-30,2023-06-30,-0.13241
402,金 融 街,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000402&announcementId=1216682680&orgId=gssz0000402&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.059654
403,派林生物,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000403&announcementId=1216698518&orgId=gssz0000403&announcementTime=2023-04-29,2023-05-04,2023-07-31,-0.076109
404,长虹华意,2022,2023-03-30,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000404&announcementId=1216260452&orgId=gssz0000404&announcementTime=2023-03-30,2023-03-31,2023-07-03,0.174468
408,藏格矿业,2022,2023-03-10,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000408&announcementId=1216083648&orgId=gssz0000408&announcementTime=2023-03-10,2023-03-13,2023-06-09,-0.088198
407,胜利股份,2022,2023-03-18,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000407&announcementId=1216145216&orgId=gssz0000407&announcementTime=2023-03-18,2023-03-20,2023-06-16,-0.097027
409,云鼎科技,2022,2023-04-13,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000409&announcementId=1216392177&orgId=gssz0000409&announcementTime=2023-04-13,2023-04-14,2023-07-14,-0.000957
410,沈阳机床,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000410&announcementId=1216704056&orgId=gssz0000410&announcementTime=2023-04-29,2023-05-04,2023-08-01,0.18159
411,英特集团,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000411&announcementId=1216682942&orgId=gssz0000411&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.053392
415,渤海租赁,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000415&announcementId=1216658168&orgId=gssz0000415&announcementTime=2023-04-28,2023-05-04,2023-07-31,0.109083
417,合百集团,2022,2023-04-08,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000417&announcementId=1216354339&orgId=gssz0000417&announcementTime=2023-04-08,2023-04-10,2023-07-10,-0.033237
419,通程控股,2022,2023-04-08,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000419&announcementId=1216355030&orgId=gssz0000419&announcementTime=2023-04-08,2023-04-10,2023-07-10,-0.022676
420,吉林化纤,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000420&announcementId=1216699920&orgId=gssz0000420&announcementTime=2023-04-29,2023-05-04,2023-07-31,-0.053285
421,南京公用,2022,2023-04-13,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000421&announcementId=1216390173&orgId=gssz0000421&announcementTime=2023-04-13,2023-04-14,2023-07-14,0.150301
422,湖北宜化,2022,2023-04-15,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000422&announcementId=1216412943&orgId=gssz0000422&announcementTime=2023-04-15,2023-04-17,2023-07-17,-0.108542
423,东阿阿胶,2022,2023-03-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000423&announcementId=1216219037&orgId=gssz0000423&announcementTime=2023-03-25,2023-03-27,2023-06-27,0.075689
425,徐工机械,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000425&announcementId=1216698987&orgId=gssz0000425&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.085306
426,兴业银锡,2022,2023-04-29,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000426&announcementId=1216695965&orgId=gssz0000426&announcementTime=2023-04-29,2023-05-04,2023-07-31,0.019751
428,华天酒店,2022,2023-04-28,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000428&announcementId=1216657294&orgId=gssz0000428&announcementTime=2023-04-28,2023-05-04,2023-07-31,-0.012502
429,粤高速Ａ,2022,2023-03-21,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000429&announcementId=1216170497&orgId=gssz0000429&announcementTime=2023-03-21,2023-03-22,2023-06-20,-0.025263
430,*ST张股,2022,2023-04-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000430&announcementId=1216554439&orgId=gssz0000430&announcementTime=2023-04-25,2023-04-26,2023-07-26,-0.007713
488,ST晨鸣,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000488&announcementId=1216280362&orgId=gssz0000488&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.091483
498,山东路桥,2022,2023-04-25,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000498&announcementId=1216563255&orgId=gssz0000498&announcementTime=2023-04-25,2023-04-26,2023-07-26,-0.050831
501,武商集团,2022,2023-03-31,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000501&announcementId=1216277052&orgId=gssz0000501&announcementTime=2023-03-31,2023-04-03,2023-07-04,-0.164783
503,国新健康,2022,2023-04-27,2022年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000503&announcementId=1216618323&orgId=gssz0000503&announcementTime=2023-04-27,2023-04-28,2023-07-28,0.114967
